No.,相対PASS,発行年,巻数,号数,開始ページ,終了ページ,論文タイトル,著者,file_name,HPリンク先,PDFリンク先,file_path,num_pages,llm_keywords,primary_keywords,secondary_keywords,featured_keywords,対象物_all,対象物_top3,対象物_根拠,研究タイプ_all,研究タイプ_top3,研究タイプ_根拠
988,日本醸造協会誌/88巻/6号/88_439.pdf,1993,88,6,439,448,全国新酒鑑評会の時代変遷,西谷 尚道,88_439.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_439/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_439/_pdf/-char/ja,,,清酒鑑評会; 全国品評会; 全国新酒鑑評会; 醸造試験所; 品質向上; 官能審査; 入賞酒; 金賞; 精米歩合; 吟醸酒,本鑑評会; 出品酒; 全国新酒鑑評会; 品質; 昭和; 全国清酒品評会; 吟醸酒; 開催; 醸造試験所; 表参照; 科学分析; 審査; 会場; 授与; 公開; 鑑評会; 方々; 清酒; 論議; 酒会,開催時; 受賞酒; 製法基準; 品質内容; 優等; 明治; 製造場; 清酒品評会; 入賞; 杜氏; 日本酒; 収容; 消費者; 実態; 開催内容; 各出品者; 主旨; 熱心; 入場者; 過去,,清酒,清酒,"清酒=>清酒, 日本酒, 山田錦",品質評価・官能評価; 歴史・文化・経済; 醸造工程・製造技術; 成分分析・物性評価; 応用利用・食品開発; 統計解析・モデル化,品質評価・官能評価; 歴史・文化・経済; 醸造工程・製造技術,"品質評価・官能評価=>品質, 評価, 官能; 歴史・文化・経済=>歴史, ブランド, 流通; 醸造工程・製造技術=>醸造, 発酵, 製造"
989,日本醸造協会誌/88巻/6号/88_449.pdf,1993,88,6,449,454,穀物の酒と果実の酒,戸塚 昭,88_449.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_449/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_449/_pdf/-char/ja,,,穀物の酒; 果実の酒; 醸造酒; 蒸留酒; 酒らしさ; 微生物; 風味; 原材料由来; 醸造法由来; ワイン,ワイン; 果実; 個性; 酒類; 清酒; 穀物; 駄目; 並酒; 表現; 風味; 口当; 原料; 消費者; ビール; 酒質; 穀類; 商品; 出荷技術; 醸造; 醸造酒,産地; 醸造法; 醸造技術; 主張; 印良; 高付加価値商品; 酵母; 嗜好; 美味; 市場; 日本; 法的; 認識; 醸造場; 清酒関係者; 香気成分; 付加価値; 産地特性; 無視; 期待感,,ワイン; アルコール飲料; 農産物・果実; ビール; 清酒; 酵母・微生物; 焼酎,ワイン; アルコール飲料; 農産物・果実,"ワイン=>ワイン, 葡萄, 果汁; アルコール飲料=>ブランデー, アルコール, ウイスキー; 農産物・果実=>果実",醸造工程・製造技術; 歴史・文化・経済; 品質評価・官能評価; 保存・安定性; 応用利用・食品開発; 微生物・遺伝子関連; 環境・サステナビリティ; 成分分析・物性評価,醸造工程・製造技術; 歴史・文化・経済; 品質評価・官能評価,"醸造工程・製造技術=>醸造, 製造, 蒸留; 歴史・文化・経済=>市場, 流通, 消費; 品質評価・官能評価=>香気成分, 評価, 品質"
990,日本醸造協会誌/88巻/6号/88_455.pdf,1993,88,6,455,460,SAKEルネッサンス'93,畑 冨士夫,88_455.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_455/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_455/_pdf/-char/ja,,,SAKEルネッサンス'93; 国際食品・飲料展; FOODEX JAPAN'93; 日本酒業界; 級別制度廃止; 需要開発; イベント企画; 地域性; 多様性; きき酒師,ゾーン; 日本酒; 来場者; SAKE; イベント; 会場; アミューズメントゾーン; ルネッサンス; 試飲; 代表酒; ブース; FOODEX; 出展; 需要開発委員; 飲料展; タイプ; 国際食品; 作業部会; 料理; 意見,各県; 相性; 日青協; 酒師; APAN; セミナー; ミニ; ティスティングゾーン; 業界内広報; 相性体験; 展示; 疑似体験; 全銘柄; カウンター; 議論; 参加者; 昭和; 業界; サービス; フランス,,清酒; 発酵食品; ワイン,清酒; 発酵食品; ワイン,"清酒=>日本酒, 酒造, 雄町; 発酵食品=>発酵食品; ワイン=>ワイン",歴史・文化・経済; 応用利用・食品開発; 保存・安定性; 醸造工程・製造技術; 環境・サステナビリティ; 品質評価・官能評価,歴史・文化・経済; 応用利用・食品開発; 保存・安定性,"歴史・文化・経済=>マーケティング, 流通, 文化; 応用利用・食品開発=>飲料, 食品; 保存・安定性=>保存"
991,日本醸造協会誌/88巻/6号/88_461.pdf,1993,88,6,461,461,お答えします,広瀬 義成,88_461.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_461/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_461/_pdf/-char/ja,,,生揚げ; 全窒素分; 脱脂加工大豆; 蒸煮時間; そばつゆの濁り; 豆蒸し; 蒸煮缶; ボイラ能力; 機械屋,MITCHELL; Cell; 本蒸; UNO; SMITH; and; DRISCOLL; SIMCHEN; KASSIR; 食塩分位; 圧抜; Mol; WIGLER; 豆蒸; nan; BROEK; POWERS; HARASHIMA; ボイラ; 蒸煮時間,TODA; OSHIMA; Biol; 全窒素分; MATSUMOTO; タンパク; 1990; 生揚; 大豆; 食塩水; 日本醤油研究所雑誌第; HERSKOWITZ; YAMASHI-TA; BIRCHMEIER; NEIGEBORN; MITSUZAWA; AMA-CHI; TREININ; MALONE; GRANOT,,醤油; 農産物・果実,醤油; 農産物・果実,醤油=>醤油; 農産物・果実=>大豆,その他（研究タイプ）,その他（研究タイプ）,
992,日本醸造協会誌/88巻/6号/88_462.pdf,1993,88,6,462,462,山中正吉商店,山中 宣三,88_462.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_462/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_462/_pdf/-char/ja,,,能登杜氏; 酒造技術; 高砂の酒質; 清酒醸造適地; 薬師如来; 嗜好変化; 級別廃止; 美味しい酒; 楽しい酒; 爽やかな酒,高砂; 薬師蔵; 薬師如来; 能登杜氏; 富士山; 現富士宮市; 現富士市; 旧領民; nan; 近江商人; 病人; 創業; 酒造業; 富士宮市山中正吉商店当社; 名古屋国税局鑑評会首位賞; 滋賀県蒲生郡日野町; 富士山本宮浅間大社; 富上山本宮浅間大社; 日野商人東国行商; 又一方日野商人,山獄佛教富士講; 近江日野商人; 近江蒲生志史; 初代山中正吉; 能登松波出身; 十年連続表彰; 伊豆田方平野; 門前町大宮町; 富士山下山佛; 鉄鋳地蔵菩薩; 元日野城主; 加島五千石; 薬師如来像; 富士山頂上; 富士山信仰; 自動車社会; 山中宣三記; 蒲生氏郷; 会律若松; 太物等々,,清酒; 醤油; 味噌,清酒; 醤油; 味噌,"清酒=>酒蔵, 酒造, 日本酒; 醤油=>醤油; 味噌=>味噌",醸造工程・製造技術,醸造工程・製造技術,醸造工程・製造技術=>製造
993,日本醸造協会誌/88巻/6号/88_463.pdf,1993,88,6,463,463,プロテアーゼインヒビター,原 三郎,88_463.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_463/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_463/_pdf/-char/ja,,,インヒビター; 大豆; 優先複対立遺伝子; Tia; STI; イソインヒビター; アミノ酸配列; BBI型インヒビター; プロテアーゼ阻害; 単頭型インヒビター,インヒビター; STI; ダイズ; 酸配列; イソインヒビター; 友人; nan; マリノスタチン; 単頭型; アミノ; 双頭型; アメリカ; 雑誌; エラスターゼ; 酸残基数; キモトリプシン; 間違; 分子量約; 脱脂; 原三郎京都工芸繊維大学工芸学部,ダイズトリプシンインヒビター; 優勢複対立遺伝子; カンニング; 種類程度含; 当然単頭型; スカッシュ; 単頭型探; 食料難; 百程度; 大陵; 告白; 審査; グループ; トリプシソ; 標的酵素; 一歩先; 一矢; 科植物種子; 大慌; 輸出,,アミノ酸・タンパク質,アミノ酸・タンパク質,"アミノ酸・タンパク質=>ペプチド, プロテアーゼ",歴史・文化・経済; 微生物・遺伝子関連; 成分分析・物性評価,歴史・文化・経済; 微生物・遺伝子関連; 成分分析・物性評価,歴史・文化・経済=>歴史; 微生物・遺伝子関連=>発現; 成分分析・物性評価=>ペプチド
994,日本醸造協会誌/88巻/6号/88_475.pdf,1993,88,6,475,481,製麹における炭酸ガスの影響,柳内 敏靖; 福田 潔; 清川 良文; 若井 芳則,88_475.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_475/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_475/_pdf/-char/ja,,,製麹; 酵素活性; 炭酸ガス; 清酒醸造; 麹品質; 麹菌増殖; 自動テスト製麹装置; 菌体量; α-アミラーゼ; グルコアミラーゼ,炭酸; ガス; koji; CO2; 導入; 影響; 導入麹; dioxide; the; 濃度; 製麹; carbon; GAase; concentration; 促進効果; room; 導入炭酸; 全区間; 清川; 切返,脂肪酸組成; 柳内; 活性; 若井; 色彩; making; 製麹槽; 福田; was; 低下; period; supplied; アミラーゼ; 製麹中; 製麹装置; 酵素活性; kirikaeshi; 導入区; increases; supply,,アミノ酸・タンパク質; 酵母・微生物; 清酒,アミノ酸・タンパク質; 酵母・微生物; 清酒,"アミノ酸・タンパク質=>アミラーゼ, 酵素活性, enzyme; 酵母・微生物=>麹菌, 菌株, 微生物; 清酒=>清酒",環境・サステナビリティ; 成分分析・物性評価; 醸造工程・製造技術; 品質評価・官能評価; 微生物・遺伝子関連; 応用利用・食品開発,環境・サステナビリティ; 成分分析・物性評価; 醸造工程・製造技術,"環境・サステナビリティ=>CO2; 成分分析・物性評価=>測定, 酸度, 吸光度; 醸造工程・製造技術=>蒸米"
995,日本醸造協会誌/88巻/6号/88_482.pdf,1993,88,6,482,486,血栓溶解酵素ナットウキナーゼの活性測定法,須見 洋行; 中島 伸佳; 田谷 直俊,88_482.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_482/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/6/88_6_482/_pdf/-char/ja,,,ナットウキナーゼ; 血栓溶解酵素; 活性測定法; CLT法; フィブリン平板法; 納豆; フィブリン; 粗酵素; 夾雑物; 納豆菌,CLT; フィブリン; ナットウキナーゼ; Natto; fibrin; 血栓溶解酵素; 活性測定法; フィブリノーゲン; インキュベーション; 納豆; SUMI; clot; 田谷; units; the; 納豆抽出物; 134; Lys-; 活性; activity,生理的食塩水; lysis; extract; 須見; 中島; PLOUG; 粗酵素中; area; mm2; HAMADA; standard; plates; 溶解時間; 単位; 人工血栓; time; 検量線; pNA; 納豆中; and,,発酵食品; アミノ酸・タンパク質; 酵母・微生物; 農産物・果実,発酵食品; アミノ酸・タンパク質; 酵母・微生物,"発酵食品=>納豆; アミノ酸・タンパク質=>プロテアーゼ, enzyme, 酵素; 酵母・微生物=>菌株",成分分析・物性評価; 応用利用・食品開発; 保存・安定性; 健康機能・栄養効果; 醸造工程・製造技術; 微生物・遺伝子関連,成分分析・物性評価; 応用利用・食品開発; 保存・安定性,"成分分析・物性評価=>測定, 粘度; 応用利用・食品開発=>利用, 食品, 開発; 保存・安定性=>保存"
996,日本醸造協会誌/88巻/7号/88_493.pdf,1993,88,7,493,493,酔わない酵母,山崎 眞狩,88_493.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_493/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_493/_pdf/-char/ja,,,酵母; アルコール; 発酵; アルコール耐性; 細胞膜; Zymomonas mobilis; ピルビン酸デカルボキシラーゼ; バクテリオホパンテトロール; エルゴステロール; 清酒酵母,細胞質膜; アルコール; mobi; バクテリアホパンテトロール; 発酵終期; nan; 大腸菌; BHT; 耐性; エネルギー; 濃度; エルゴステロール; 酵母菌体内; 排出; 銘酒; 酵母東京大学農学部教授山崎眞狩坂口謹一郎先生; Zymomomnas; Zymomoms; 細胞質膜変異株; 世界三大銘酒,数年研究材料; 物理的抵抗性; 巻頭随想酔; 日本商品店; 自然透過説; 清酒集母; 拡散説; 相関説; 発集; 色々; 細胞生物学的; 初発段階; 疑問; コレステロール; 生理的影響; 御著書; 好個; 精々; 清酒; 培地中,,アルコール飲料; 酵母・微生物; 清酒; ビール; アミノ酸・タンパク質,アルコール飲料; 酵母・微生物; 清酒,"アルコール飲料=>アルコール; 酵母・微生物=>酵母, 細胞; 清酒=>清酒",環境・サステナビリティ; 醸造工程・製造技術; 微生物・遺伝子関連; 歴史・文化・経済; 統計解析・モデル化,環境・サステナビリティ; 醸造工程・製造技術; 微生物・遺伝子関連,"環境・サステナビリティ=>排出; 醸造工程・製造技術=>発酵; 微生物・遺伝子関連=>変異株, 遺伝子"
997,日本醸造協会誌/88巻/7号/88_494.pdf,1993,88,7,494,498,スーパーライス計画と今後の展開,農林水産省農林水産技術会議研究開発課,88_494.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_494/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_494/_pdf/-char/ja,,,スーパーライス計画; 醸造用原料; 育種; 新形質; 多収品種; 巨大胚米; 香り米; 有色素米; 雑種不稔; 品種改良,アミロース; スーパーライス; 品種; 形質; 育成; 年度命名登録; 食味; 系統; 計画; 開発; 新形質; 有色素米; ハイブリッド; 育成本品種; 雑種不稔; 含量; 利用技術; 育成中; 解明; 酒造用原料米,大粒; 適性; 期待; 非脱粒性遺伝子; 中間母本系統; 関東以南; 超多収系; 非脱粒性; 長幹; 特性; 需要; 選抜; 加工用; サリークイーン; 超多収系統; 超多収品種; 新形質系統; パエリア; 超多収性; リポキシゲナーゼ,,清酒; ワイン; アミノ酸・タンパク質,清酒; ワイン; アミノ酸・タンパク質,"清酒=>酒米, 山田錦; ワイン=>ブドウ; アミノ酸・タンパク質=>ペプチド, 酵素",応用利用・食品開発; 歴史・文化・経済; 微生物・遺伝子関連; 品質評価・官能評価; 成分分析・物性評価; 統計解析・モデル化; 保存・安定性; 健康機能・栄養効果; 醸造工程・製造技術,応用利用・食品開発; 歴史・文化・経済; 微生物・遺伝子関連,"応用利用・食品開発=>開発, 利用, 加工; 歴史・文化・経済=>需要, 消費, 流通; 微生物・遺伝子関連=>遺伝子, 突然変異, DNA"
998,日本醸造協会誌/88巻/7号/88_499.pdf,1993,88,7,499,505,新醸造法開発の背景とその技術,今安 聰,88_499.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_499/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_499/_pdf/-char/ja,,,新醸造法; 液化仕込み; 融米づくり; 並行複発酵; 精密管理; 酒質; ファジィ制御; コンピュータ制御; 発酵特性; 熟練技術者,新醸造法; 熟練技術者; ボーメ; ファジィ; メンバーシップ; 今安聰; 制御; 発酵特性; 関数; システム; プラント; 発酵管理; プロセスモデル; コンピュータ; 大石薫; 目標; 状態変数; 私共; 川戸章嗣; 圧炉圧搾機,Alc; 発酵; NFS; 昭和; 特性要因図; 融米; 原料白米; OISHI; 出力層; 冨永光則; TOMINAGA; 品温; KAWATO; exp; 入力; 定義; ニューラルネットワーク; 技術; 酒質; 偏差,,アルコール飲料; 酵母・微生物; 清酒; 発酵乳・乳製品; アミノ酸・タンパク質,アルコール飲料; 酵母・微生物; 清酒,"アルコール飲料=>アルコール; 酵母・微生物=>微生物, 酵母, 麹菌; 清酒=>清酒, 吟醸, 純米酒",醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 微生物・遺伝子関連; 保存・安定性; 歴史・文化・経済; 統計解析・モデル化,醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価,"醸造工程・製造技術=>発酵, 醸造, 蒸米; 応用利用・食品開発=>開発, 応用, 利用; 品質評価・官能評価=>評価, 官能検査, 品質"
999,日本醸造協会誌/88巻/7号/88_506.pdf,1993,88,7,506,511,糸状菌による異種タンパクの分泌生産,土屋 幸三,88_506.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_506/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_506/_pdf/-char/ja,,,糸状菌; 異種タンパク生産系; 分泌生産; Asperigillus oryzae; Asperigillus niger; Asperigillus awamori; プロモーター; シグナル配列; 転写産物; プロテアーゼ,タンパク; 分泌量; 異種; リゾチーム; 宿主; キモシン; 高分泌; 遺伝子; 分泌; 糸状菌; 配列; 生産; BiolTechnology; 高等真核生物由来; シグナル; ARCHER; WARD; amyB; and; プロテアーゼ,プロモーター; ger; 融合遺伝子; 分泌経路内; 分泌生産; 異種遺伝子; インターロイキンー; 転写産物; ヒトリゾチーム; 組換; 発現; 炭素源; 生産系; 発現量; oryzae; 接続; 活性; LAMSA; 改善; 生産物,,酵母・微生物; アミノ酸・タンパク質; 発酵乳・乳製品,酵母・微生物; アミノ酸・タンパク質; 発酵乳・乳製品,"酵母・微生物=>oryzae, 酵母, 麹菌; アミノ酸・タンパク質=>プロテアーゼ, グルコアミラーゼ, アミラーゼ; 発酵乳・乳製品=>チーズ",微生物・遺伝子関連; 統計解析・モデル化; 保存・安定性; 成分分析・物性評価; 応用利用・食品開発; 醸造工程・製造技術,微生物・遺伝子関連; 統計解析・モデル化; 保存・安定性,"微生物・遺伝子関連=>遺伝子, 発現, プラスミド; 統計解析・モデル化=>解析; 保存・安定性=>安定性"
1000,日本醸造協会誌/88巻/7号/88_512.pdf,1993,88,7,512,516,乳酸菌抗菌性ペプチド「バクテリオシン」の清酒醸造への利用,吉田 和司,88_512.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_512/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_512/_pdf/-char/ja,,,乳酸菌; 抗菌性ペプチド; バクテリオシン; 清酒醸造; 火落ち; 酒母; 腐造; 火落菌; 生酛; 山廃,8912; アシドシン; ナイシン; 火落菌; 火落; バクテリオシン; 乳酸菌; 限外濾過後; 添加; CFU; 失活; 抗菌; 清酒; 清酒中; 火入; 感受性菌; 火落菌感染抑制効果; KANATANI; OSHIMURA; アシドシソ,ナイシソ; 円溝; Lact; TAHARA; ペプチド; スペクトル; erohi; 菌体数; 抗菌活性; バクテリオシソ; 乳酸菌抗菌性; 腐敗試験; MDa; YOSHIDA; SAKAMOTO; プラスミド; 抗腐敗清酒; het; 効力; 接種,,酵母・微生物; 発酵乳・乳製品; 清酒; アミノ酸・タンパク質; アルコール飲料; 発酵食品,酵母・微生物; 発酵乳・乳製品; 清酒,"酵母・微生物=>乳酸菌, 菌株, 野生酵母; 発酵乳・乳製品=>乳製品, 発酵乳; 清酒=>清酒, 山廃",成分分析・物性評価; 健康機能・栄養効果; 微生物・遺伝子関連; 応用利用・食品開発; 保存・安定性; 環境・サステナビリティ; 醸造工程・製造技術,成分分析・物性評価; 健康機能・栄養効果; 微生物・遺伝子関連,"成分分析・物性評価=>ペプチド, スペクトル, 測定; 健康機能・栄養効果=>抗菌, 機能性; 微生物・遺伝子関連=>プラスミド, 菌株, DNA"
1001,日本醸造協会誌/88巻/7号/88_517.pdf,1993,88,7,517,525,"スコッチウイスキー, ブランデーの蒸留廃液処理",蓮尾 徹夫,88_517.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_517/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_517/_pdf/-char/ja,,,蒸留廃液処理; スコッチウイスキー; ブランデー; 海洋汚染; ロンドン条約; しょうちゅう蒸留かす; 飼料; 酵母除去; 環境負荷; REVICO,蒸留; 蒸留所; コニャック; 条約; 汚染料; ラグーン; モルトウイスキー; 海洋; 処理; ブランデー; ドラフ; スコッチウイスキー; 投棄; グレンウイスキー; REVI; 廃水処理; フランス; 回蒸留; 規制; 放流,メタン; ロンドン; スコットランド; 肥料; 決議; 飼料; 発酵槽; 写真; 処理第; 河川; 微生物処理; campagne; ポットエール; 大手蒸留所; 昭和; ウイスキー; 大手業者; 締約国; 廃棄物; 問題,,アルコール飲料; ワイン; 副産物・バイオマス; 醤油; 酵母・微生物; ビール; 農産物・果実; アミノ酸・タンパク質,アルコール飲料; ワイン; 副産物・バイオマス,"アルコール飲料=>ブランデー, ウイスキー, アルコール; ワイン=>ワイン, ブドウ; 副産物・バイオマス=>廃液",醸造工程・製造技術; 環境・サステナビリティ; 応用利用・食品開発; 歴史・文化・経済; 保存・安定性,醸造工程・製造技術; 環境・サステナビリティ; 応用利用・食品開発,"醸造工程・製造技術=>蒸留, 発酵, 工程; 環境・サステナビリティ=>環境, 排出; 応用利用・食品開発=>利用, 加工"
1002,日本醸造協会誌/88巻/7号/88_526.pdf,1993,88,7,526,530,味噌の品質保持と溶質濃度,奥井 一義,88_526.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_526/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_526/_pdf/-char/ja,,,溶質水分率; 食塩; 糖類; アルコール; 浸透圧; 異常発酵; 保存性; 味噌; 醤油; 食品加工,溶質水分率; 溶質濃度; 食塩; 浸透圧; 水分活性; 水分; アルコール; 保存性; 異常発酵; 発酵食品類; 本式; 糖分; 対水食塩濃度; 水和; 奥井一義; 分析値; 食品; 可溶性無塩固形分; 不良細菌群; 浸透圧曲線,生育; 食物; 計算; 抑制; 発黴; 米麹糖化液; 微生物群; 含塩発酵食品; 熟成; 味噌; 結合水; 100; 防止; 醤油; 微生物; 仕込初期; 食塩発酵食品; 溶質水分率純; 糖蔵食品; 味獪,,アルコール飲料; 醤油; 味噌; 酵母・微生物; アミノ酸・タンパク質; 発酵乳・乳製品; 発酵食品; ワイン; 清酒,アルコール飲料; 醤油; 味噌,"アルコール飲料=>アルコール; 醤油=>醤油, 醤油麹; 味噌=>味噌",保存・安定性; 応用利用・食品開発; 醸造工程・製造技術; 微生物・遺伝子関連; 成分分析・物性評価; 環境・サステナビリティ,保存・安定性; 応用利用・食品開発; 醸造工程・製造技術,"保存・安定性=>保存性, 保存, 腐敗; 応用利用・食品開発=>食品, 利用, 調味料; 醸造工程・製造技術=>熟成, 工程, 発酵"
1003,日本醸造協会誌/88巻/7号/88_531.pdf,1993,88,7,531,536,東南アジアの魚醤油,野田 文雄,88_531.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_531/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_531/_pdf/-char/ja,,,魚醤油; 東南アジア; 穀醤; 発酵熟成; 原料魚; 食塩; 乳酸菌; アンチョビー; タイ; ベトナム,魚醤油; 液状魚醤油; 魚体; ナンプラ; パテイス; タイ; 表市販魚醤油; 泥状魚醤油; フロー; アジア; 東南; フィリッピン; 原料魚; 製造; 穀醤; 自然混入乳酸菌; Fish; パーム; グループ; 魚醤,発酵熟成; エスニック; 生産量; 窒素濃度; 種類; furanone; トン; 使用; ストレホラス; 原料魚体; CHNG; シンガポール; 日本海食文化; KUANG; グレイド; 法規定; 食塩; Southeast; 酒田; 代表的,,発酵食品; 醤油; 酵母・微生物; アミノ酸・タンパク質; 味噌,発酵食品; 醤油; 酵母・微生物,"発酵食品=>魚醤; 醤油=>醤油; 酵母・微生物=>微生物, 乳酸菌, 酵母",醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 保存・安定性; 歴史・文化・経済; 微生物・遺伝子関連; 統計解析・モデル化; 成分分析・物性評価,醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価,"醸造工程・製造技術=>製造, 蒸米, 発酵; 応用利用・食品開発=>調味料, 応用; 品質評価・官能評価=>品質, 香気成分, フレーバー"
1004,日本醸造協会誌/88巻/7号/88_537.pdf,1993,88,7,537,542,スブチリシンNAT,一島 英治,88_537.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_537/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_537/_pdf/-char/ja,,,プロテアーゼ; スブチリシンNAT; 基質特異性; 疎水性アミノ酸; アンジオテンシン; α2マクログロブリン; 複合体; 納豆菌; キネマ; タンパク性インヒビター,スブチリシン; NAT; 納豆菌; セリンプロテアーゼ; 複合体; SSI; ICHISHIMA; BPN; タンパク; Subtilisin; スプチリシン; スブチリシソ; 複合体中; nat; プロテアーゼ; 基質分子; 血中; nase; 酸酸化; sberg,結合; 特異性; Tyr16; 獣脂; アンジオテンシン; 納豆; subt; 納豆特有; キネマ; Carl; YAMAGATA; 調味料製造; トラップ; 加水分解; 一次構造; インスリン; 水解; 000; Chem; フィブリン,,発酵食品; アミノ酸・タンパク質; 酵母・微生物; 農産物・果実; ビール,発酵食品; アミノ酸・タンパク質; 酵母・微生物,"発酵食品=>納豆, 発酵食品; アミノ酸・タンパク質=>プロテアーゼ, 酵素, ペプチド; 酵母・微生物=>oryzae, 細胞, 乳酸菌",応用利用・食品開発; 微生物・遺伝子関連; 成分分析・物性評価; 醸造工程・製造技術; 統計解析・モデル化; 歴史・文化・経済; 品質評価・官能評価; 健康機能・栄養効果,応用利用・食品開発; 微生物・遺伝子関連; 成分分析・物性評価,"応用利用・食品開発=>調味料, 応用, 利用; 微生物・遺伝子関連=>遺伝子, DNA, 微生物; 成分分析・物性評価=>ペプチド, 測定"
1005,日本醸造協会誌/88巻/7号/88_543.pdf,1993,88,7,543,549,醸造技術のあゆみと醸造試験所の方途,西谷 尚道,88_543.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_543/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/88/7/88_7_543/_pdf/-char/ja,,,清酒; 米; 麹; 技術; 醸造試験所; 口噛み酒; 濁酒; 酒母; 酵母; 科学技術,醸造試験所; 科学技術; 技術; 科学技術政策; 推進; 図醸造試験所; モロミ; 醸造試験所及; 研究目標; 清酒; 技術官組織; 移転; 糖化材; 確立; ドブロク; 鑑定官室; 組織; 技術官組織全体; 技術行政; 目下,世紀頃; 酒類; 世紀; 国立研究機関; 醸造技術; 西洋; 研究; 開発; 酒質; 研究活動; 重要研究開発分野; 酒類醸造工程管理; 先導的科学技術; 標準仕込配合; 醸造原料植物; 系科学技術; 年原料米; 予算的; 社会及; 図今後,,アルコール飲料; 清酒; 酵母・微生物; ワイン; ビール; 副産物・バイオマス; アミノ酸・タンパク質; 焼酎,アルコール飲料; 清酒; 酵母・微生物,"アルコール飲料=>アルコール, ウイスキー, エタノール; 清酒=>清酒, 酒造; 酵母・微生物=>麹菌, 微生物, 酵母",応用利用・食品開発; 醸造工程・製造技術; 微生物・遺伝子関連; 歴史・文化・経済; 品質評価・官能評価; 健康機能・栄養効果; 統計解析・モデル化; 保存・安定性; 環境・サステナビリティ; 成分分析・物性評価,応用利用・食品開発; 醸造工程・製造技術; 微生物・遺伝子関連,"応用利用・食品開発=>開発, 利用; 醸造工程・製造技術=>蒸米, 発酵, 工程; 微生物・遺伝子関連=>発現, 遺伝子, 微生物"
